url,source,status
"https://rpayc.com.au/results/23/club/otb/index.htm","year-variant-of:https://rpayc.com.au/results/2022/club/otb/index.htm",404
"http://results.ryct.org.au/drgstates2026/","year-variant-of:http://results.ryct.org.au/drgstates22/",404
"https://www.raceresults.rmyctoronto.com.au/results/2526_2022/regattaindex.htm","year-variant-of:https://www.raceresults.rmyctoronto.com.au/results/2021_2022/regattaindex.htm",404
"https://www.raceresults.rmyctoronto.com.au/results/22_2022/regattaindex.htm","year-variant-of:https://www.raceresults.rmyctoronto.com.au/results/2021_2022/regattaindex.htm",404
"http://results.ryct.org.au/bruny2024_2025/","year-variant-of:http://results.ryct.org.au/bruny23/",404
"http://cycsa.com.au/results/2026/index.htm","year-variant-of:http://cycsa.com.au/results/2017/index.htm",404
"https://www.topyacht.net.au/results/orwa/2026-2027/index.htm","year-variant-of:https://www.topyacht.net.au/results/orwa/2022/index.htm",404
"https://www.topyacht.net.au/results/2025-26/sailparadise/","year-variant-of:https://www.topyacht.net.au/results/2022/sailparadise/",404
"http://results.ryct.org.au/cclong2324/","year-variant-of:http://results.ryct.org.au/cclong23/",404
"https://www.topyacht.net.au/results/orwa/2023/index.htm","year-variant-of:https://www.topyacht.net.au/results/orwa/2022/index.htm",200
"https://www.topyacht.net.au/results/npc/2023/npcl/index.htm","year-variant-of:https://www.topyacht.net.au/results/npc/2020/npcl/index.htm",404
"https://www.mhyc.com.au/files/results/22/champsregattas/index.htm","year-variant-of:https://www.mhyc.com.au/files/results/2020/champsregattas/index.htm",500
"https://www.topyacht.net.au/results/cyaa/25/winter/index.htm","year-variant-of:https://www.topyacht.net.au/results/cyaa/2022/winter/index.htm",404
"https://www.raceresults.rmyctoronto.com.au/results/2024_2024-25/hcwindex.htm","year-variant-of:https://www.raceresults.rmyctoronto.com.au/results/2024_2025/hcwindex.htm",404
"https://www.mhyc.com.au/files/results/25/club/index.htm","year-variant-of:https://www.mhyc.com.au/files/results/2021/club/index.htm",500
"https://topyacht.net.au/results/cycsa/2526/club/index.htm","year-variant-of:https://topyacht.net.au/results/cycsa/2022/club/index.htm",404
"https://www.topyacht.net.au/results/2025-26/sailsandy/index.htm","year-variant-of:https://www.topyacht.net.au/results/2025/sailsandy/index.htm",404
"http://results.ryct.org.au/ccharbour2023/","year-variant-of:http://results.ryct.org.au/ccharbour23/",404
"https://www.lmycraceresults.com.au/results/2026_2027/tyregattas/","year-variant-of:https://www.lmycraceresults.com.au/results/2025/tyregattas/",404
"https://www.topyacht.net.au/results/rycv/2025-26/summer/index-summer.htm","year-variant-of:https://www.topyacht.net.au/results/rycv/2022/summer/index-summer.htm",404
"https://www.raceresults.rmyctoronto.com.au/results/2021_26/regattaindex.htm","year-variant-of:https://www.raceresults.rmyctoronto.com.au/results/2021_2022/regattaindex.htm",404
"http://results.ryct.org.au/drgstates2425/","year-variant-of:http://results.ryct.org.au/drgstates22/",404
"http://results.ryct.org.au/channel2023/","year-variant-of:http://results.ryct.org.au/channel22/",404
"https://www.topyacht.net.au/results/ncyc/2026-27/sf2026-27/index.htm","year-variant-of:https://www.topyacht.net.au/results/ncyc/2022/sf2022/index.htm",404
"https://www.topyacht.net.au/results/gryc/23/club/Summer23/series.htm","year-variant-of-flip:https://www.topyacht.net.au/results/gryc/2025/club/Winter2025/series.htm",404
"https://www.topyacht.net.au/results/2025-2026/sailparadise/","year-variant-of:https://www.topyacht.net.au/results/2022/sailparadise/",404
"https://cyca.com.au/results/2627/bwps_1920/index.htm","year-variant-of:https://cyca.com.au/results/2019/bwps_1920/index.htm",404
"https://www.topyacht.net.au/results/rmys/2025-2026/awkr22/index.htm","year-variant-of:https://www.topyacht.net.au/results/rmys/2022/awkr22/index.htm",404
"https://www.topyacht.net.au/results/npc/2023-24/npcl/index.htm","year-variant-of:https://www.topyacht.net.au/results/npc/2020/npcl/index.htm",404
"https://www.mhyc.com.au/files/results/2021-22/champsregattas/index.htm","year-variant-of:https://www.mhyc.com.au/files/results/2020/champsregattas/index.htm",500
"https://topyacht.net.au/results/rgyc/2026-2026_keel_boat_club_series/","year-variant-of:https://topyacht.net.au/results/rgyc/2025-2026_keel_boat_club_series/",404
"https://gfs.org.au/handicapper/results/2020-2021/2020-2021_club_series/index.htm","year-variant-of:https://gfs.org.au/handicapper/results/2023/2023_club_series/index.htm",404
"http://cycsa.com.au/results/2021/index.htm","year-variant-of:http://cycsa.com.au/results/2017/index.htm",404
"https://www.topyacht.net.au/results/cyaa/2022_2023/winter/index.htm","year-variant-of:https://www.topyacht.net.au/results/cyaa/2022/winter/index.htm",404
"http://cycsa.com.au/results/2023_2024/index.htm","year-variant-of:http://cycsa.com.au/results/2017/index.htm",404
"https://gfs.org.au/handicapper/results/2024/2024_club_series/index.htm","year-variant-of:https://gfs.org.au/handicapper/results/2023/2023_club_series/index.htm",404
"https://www.topyacht.net.au/results/ncyc/2023/sf2023/index.htm","year-variant-of:https://www.topyacht.net.au/results/ncyc/2022/sf2022/index.htm",404
"http://results.ryct.org.au/ccharbour20/","year-variant-of:http://results.ryct.org.au/ccharbour23/",404
"https://www.raceresults.rmyctoronto.com.au/results/2021-22_2022/regattaindex.htm","year-variant-of:https://www.raceresults.rmyctoronto.com.au/results/2021_2022/regattaindex.htm",404
"https://www.topyacht.net.au/results/pmyc/2022/club/index.htm","seed",200
"https://www.topyacht.net.au/results/balmainsc/2025_2026/kb/index.htm","year-variant-of:https://www.topyacht.net.au/results/balmainsc/2022/kb/index.htm",404
"https://www.topyacht.net.au/results/gryc/2025-26/club/Summer2025-26/series.htm","year-variant-of-flip:https://www.topyacht.net.au/results/gryc/2025/club/Winter2025/series.htm",404
"https://www.topyacht.net.au/results/gryc/2024_2025/club/Summer2024_2025/series.htm","year-variant-of-flip:https://www.topyacht.net.au/results/gryc/2025/club/Winter2025/series.htm",404
"https://www.topyacht.net.au/results/gryc/2021-22/club/Summer2021-22/series.htm","year-variant-of-flip:https://www.topyacht.net.au/results/gryc/2025/club/Winter2025/series.htm",404
"https://www.topyacht.net.au/results/rycv/20/winter/index-winter.htm","year-variant-of-flip:https://www.topyacht.net.au/results/rycv/2022/summer/index-summer.htm",404
"https://www.topyacht.net.au/results/cyaa/2025-2026/winter/index.htm","year-variant-of:https://www.topyacht.net.au/results/cyaa/2022/winter/index.htm",404
"https://topyacht.net.au/results/rgyc/2324_keel_boat_club_series/","year-variant-of:https://topyacht.net.au/results/rgyc/2025-2026_keel_boat_club_series/",404
"http://results.ryct.org.au/bruny2022/","year-variant-of:http://results.ryct.org.au/bruny23/",404
"https://gfs.org.au/handicapper/results/2020_2021/2020_2021_club_series/index.htm","year-variant-of:https://gfs.org.au/handicapper/results/2023/2023_club_series/index.htm",404
"https://www.topyacht.net.au/results/orwa/2021/index.htm","year-variant-of:https://www.topyacht.net.au/results/orwa/2022/index.htm",200
"https://www.topyacht.net.au/results/balmainsc/2021_2022/kb/index.htm","year-variant-of:https://www.topyacht.net.au/results/balmainsc/2022/kb/index.htm",404
"https://cyca.com.au/results/2021-2022/bwps_1920/index.htm","year-variant-of:https://cyca.com.au/results/2019/bwps_1920/index.htm",404
"https://www.topyacht.net.au/results/cyaa/2025/summer/index.htm","year-variant-of-flip:https://www.topyacht.net.au/results/cyaa/2022/winter/index.htm",404
"https://www.raceresults.rmyctoronto.com.au/results/2021_23/regattaindex.htm","year-variant-of:https://www.raceresults.rmyctoronto.com.au/results/2021_2022/regattaindex.htm",404
"https://www.raceresults.rmyctoronto.com.au/results/2024_2526/hcwindex.htm","year-variant-of:https://www.raceresults.rmyctoronto.com.au/results/2024_2025/hcwindex.htm",404
"https://www.mhyc.com.au/files/results/2021/club/index.htm","seed",200
"http://results.ryct.org.au/ccharbour2122/","year-variant-of:http://results.ryct.org.au/ccharbour23/",404
"https://www.mhyc.com.au/files/results/22/club/index.htm","year-variant-of:https://www.mhyc.com.au/files/results/2021/club/index.htm",500
"https://www.lmycraceresults.com.au/results/2024-2025/tyregattas/","year-variant-of:https://www.lmycraceresults.com.au/results/2025/tyregattas/",404
"https://topyacht.net.au/results/rgyc/2025-25_keel_boat_club_series/","year-variant-of:https://topyacht.net.au/results/rgyc/2025-2026_keel_boat_club_series/",404
"https://topyacht.net.au/results/rgyc/23-2026_keel_boat_club_series/","year-variant-of:https://topyacht.net.au/results/rgyc/2025-2026_keel_boat_club_series/",404
"https://www.raceresults.rmyctoronto.com.au/results/2021_2024/regattaindex.htm","year-variant-of:https://www.raceresults.rmyctoronto.com.au/results/2021_2022/regattaindex.htm",404
"https://topyacht.net.au/results/rgyc/2025-2021-22_keel_boat_club_series/","year-variant-of:https://topyacht.net.au/results/rgyc/2025-2026_keel_boat_club_series/",404
"https://topyacht.net.au/results/cycsa/20/club/index.htm","year-variant-of:https://topyacht.net.au/results/cycsa/2022/club/index.htm",404
"http://cycsa.com.au/results/2122/index.htm","year-variant-of:http://cycsa.com.au/results/2017/index.htm",404
"https://www.topyacht.net.au/results/gryc/2026_2027/club/Summer2026_2027/series.htm","year-variant-of-flip:https://www.topyacht.net.au/results/gryc/2025/club/Winter2025/series.htm",404
"https://www.topyacht.net.au/results/gryc/2022-23/club/Winter2022-23/series.htm","year-variant-of:https://www.topyacht.net.au/results/gryc/2025/club/Winter2025/series.htm",404
"https://topyacht.net.au/results/rgyc/2025-2025_keel_boat_club_series/","year-variant-of:https://topyacht.net.au/results/rgyc/2025-2026_keel_boat_club_series/",404
