url,slug,season,pattern,status
https://www.topyacht.net.au/results/byc/2021-2022/club/index.htm,byc,2021-2022,slug/season/club,404
https://www.topyacht.net.au/results/2022/byc/index.htm,byc,2022,season/slug,404
https://www.topyacht.net.au/results/byc/2022/club/index.htm,byc,2022,slug/season/club,404
https://www.topyacht.net.au/results/2022-23/byc/index.htm,byc,2022-23,season/slug,404
https://www.topyacht.net.au/results/byc/2022-23/club/index.htm,byc,2022-23,slug/season/club,404
https://www.topyacht.net.au/results/2022-2023/byc/index.htm,byc,2022-2023,season/slug,000000
https://www.topyacht.net.au/results/byc/2022-2023/club/index.htm,byc,2022-2023,slug/season/club,404
https://www.topyacht.net.au/results/2023/byc/index.htm,byc,2023,season/slug,404
https://www.topyacht.net.au/results/byc/2023/club/index.htm,byc,2023,slug/season/club,404
https://www.topyacht.net.au/results/2023-24/byc/index.htm,byc,2023-24,season/slug,404
https://www.topyacht.net.au/results/byc/2023-24/club/index.htm,byc,2023-24,slug/season/club,404
https://www.topyacht.net.au/results/2023-2024/byc/index.htm,byc,2023-2024,season/slug,404
https://www.topyacht.net.au/results/byc/2023-2024/club/index.htm,byc,2023-2024,slug/season/club,404
https://www.topyacht.net.au/results/2024/byc/index.htm,byc,2024,season/slug,404
https://www.topyacht.net.au/results/byc/2024/club/index.htm,byc,2024,slug/season/club,404
https://www.topyacht.net.au/results/2024-25/byc/index.htm,byc,2024-25,season/slug,404
https://www.topyacht.net.au/results/byc/2024-25/club/index.htm,byc,2024-25,slug/season/club,404
https://www.topyacht.net.au/results/2024-2025/byc/index.htm,byc,2024-2025,season/slug,404
https://www.topyacht.net.au/results/byc/2024-2025/club/index.htm,byc,2024-2025,slug/season/club,404
https://www.topyacht.net.au/results/2025/byc/index.htm,byc,2025,season/slug,404
https://www.topyacht.net.au/results/byc/2025/club/index.htm,byc,2025,slug/season/club,404
https://www.topyacht.net.au/results/2025-26/byc/index.htm,byc,2025-26,season/slug,404
https://www.topyacht.net.au/results/byc/2025-26/club/index.htm,byc,2025-26,slug/season/club,404
https://www.topyacht.net.au/results/2025-2026/byc/index.htm,byc,2025-2026,season/slug,404
https://www.topyacht.net.au/results/byc/2025-2026/club/index.htm,byc,2025-2026,slug/season/club,404
https://www.topyacht.net.au/results/2019/cyca/index.htm,cyca,2019,season/slug,404
https://www.topyacht.net.au/results/cyca/2019/club/index.htm,cyca,2019,slug/season/club,404
https://www.topyacht.net.au/results/2019-20/cyca/index.htm,cyca,2019-20,season/slug,404
https://www.topyacht.net.au/results/cyca/2019-20/club/index.htm,cyca,2019-20,slug/season/club,404
https://www.topyacht.net.au/results/2019-2020/cyca/index.htm,cyca,2019-2020,season/slug,404
https://www.topyacht.net.au/results/cyca/2019-2020/club/index.htm,cyca,2019-2020,slug/season/club,404
https://www.topyacht.net.au/results/2020/cyca/index.htm,cyca,2020,season/slug,404
https://www.topyacht.net.au/results/cyca/2020/club/index.htm,cyca,2020,slug/season/club,404
https://www.topyacht.net.au/results/2020-21/cyca/index.htm,cyca,2020-21,season/slug,404
https://www.topyacht.net.au/results/cyca/2020-21/club/index.htm,cyca,2020-21,slug/season/club,404
https://www.topyacht.net.au/results/2020-2021/cyca/index.htm,cyca,2020-2021,season/slug,404
https://www.topyacht.net.au/results/cyca/2020-2021/club/index.htm,cyca,2020-2021,slug/season/club,404
https://www.topyacht.net.au/results/2021/cyca/index.htm,cyca,2021,season/slug,404
https://www.topyacht.net.au/results/cyca/2021/club/index.htm,cyca,2021,slug/season/club,404
https://www.topyacht.net.au/results/2021-22/cyca/index.htm,cyca,2021-22,season/slug,404
https://www.topyacht.net.au/results/cyca/2021-22/club/index.htm,cyca,2021-22,slug/season/club,404
https://www.topyacht.net.au/results/2021-2022/cyca/index.htm,cyca,2021-2022,season/slug,404
https://www.topyacht.net.au/results/cyca/2021-2022/club/index.htm,cyca,2021-2022,slug/season/club,404
https://www.topyacht.net.au/results/2022/cyca/index.htm,cyca,2022,season/slug,404
https://www.topyacht.net.au/results/cyca/2022/club/index.htm,cyca,2022,slug/season/club,404
https://www.topyacht.net.au/results/2022-23/cyca/index.htm,cyca,2022-23,season/slug,404
https://www.topyacht.net.au/results/cyca/2022-23/club/index.htm,cyca,2022-23,slug/season/club,404
